[2026-09-23T10:57:58.717Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (5ms, 51671B)
[2026-09-23T10:57:58.727Z] GET http://192.168.178.24:8000/assets/images/stock/handshake.jpg → 200 (46ms, 274633B)
[2026-09-23T10:57:59.684Z] GET http://192.168.178.24:8000/assets/images/stock/handshake-small.jpg → 200 (2ms, 122546B)
[2026-09-23T10:58:00.002Z] GET http://192.168.178.24:8000/ → 200 (4ms, 71064B)
[2026-09-23T10:58:00.019Z] GET http://192.168.178.24:8000/assets/images/brand/logo-white.png?v=2 → 200 (7ms, 59499B)
[2026-09-23T10:58:00.020Z] GET http://192.168.178.24:8000/assets/images/brand/logo.png?v=2 → 200 (9ms, 51671B)
[2026-09-23T10:58:00.025Z] GET http://192.168.178.24:8000/assets/images/stock/hero-still.jpg → 200 (54ms, 162187B)
[2026-09-23T10:58:00.026Z] GET http://192.168.178.24:8000/assets/images/people/joergen-oberkofler.jpg → 200 (62ms, 19331B)
[2026-09-23T10:58:00.026Z] GET http://192.168.178.24:8000/assets/images/people/lorenz-ambrosius.jpg → 200 (23ms, 51745B)
[2026-09-23T10:58:00.026Z] GET http://192.168.178.24:8000/assets/images/people/niklas-gruber.jpg → 200 (61ms, 107982B)
[2026-09-23T10:58:00.026Z] GET http://192.168.178.24:8000/assets/images/people/nikolaus-mueller.jpg → 200 (62ms, 78751B)
[2026-09-23T10:58:00.049Z] GET http://192.168.178.24:8000/assets/images/stock/handshake-small.jpg → 200 (48ms, 122546B)
[2026-09-23T10:58:00.049Z] GET http://192.168.178.24:8000/assets/fonts/inter-latin.woff2 → 200 (62ms, 48256B)
